NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Douglas County,Kansas,49605,2.22,96,52.3,5.4,74.1,6.4,10.2,20.2,66153,37261,16.3,52818,2.8,6.7,7.2,8.2,10.2,50.4,259500,119094,50.1,4.5,17.8,13.2,79.7,4.3,1.7,4.9,0,8.1,4.1,1.4,2743,34915,8887,2694,0,0,0,0,15,520,1529288,325989,268.2502684
Edwards County,Kansas,1225,2.26,87.6,17.9,6.9,95,9.4,19.2,21.4,52750,31368,13.6,1549,0,0.3,0.1,0.1,1.7,78.6,65500,2849,50.7,5.8,22.6,21.9,87.9,0.4,1,0.5,0,6.9,8,1.5,75,511,212,0,0,0,0,0,0,0,13584,936,4.499155535
Elk County,Kansas,1028,2.37,86.9,18.2,8.2,88.1,0.9,3.8,31.4,50000,28159,14.8,1511,2.7,0.5,0.7,0,0,77.7,57100,2453,49.2,4.7,22.7,27.5,92.4,0.1,0.8,0.4,0,5.4,1.5,1.4,56,297,236,0,0,0,0,0,0,0,14948,6993,3.926959952
Ellis County,Kansas,11958,2.3,95.3,38.7,4.6,78.2,2.9,6.4,13.2,59665,37217,15.3,13214,8.4,3.9,3.2,1.8,3.5,61.3,199100,28921,50,5.3,20.5,15.1,90.6,1.3,0.1,1.6,0.2,4.3,3.8,1.4,1106,12365,2757,989,0,0,0,0,0,122,570120,75560,31.72864406
Ellsworth County,Kansas,2305,2.33,92.3,20.8,9.9,86.5,1.2,2.5,19.7,59844,29968,8.7,3102,1.3,1.4,1.2,1.5,0.8,81.4,109400,6374,43.9,4.5,18.1,22.8,87.9,3.2,1.2,0.3,0,6.5,3.5,0.7,164,1708,470,125,0,0,0,0,0,0,45817,0,8.527406189
Finney County,Kansas,13021,2.88,72.1,18.5,3.8,82.3,22,45,14.5,68481,29805,12.8,14174,3.5,10.3,3.6,3,2.4,65.1,183900,38187,48.4,7.9,29.9,11.3,61.6,4.5,0.5,4.3,0.1,16.9,27.8,8.2,1017,15005,2462,960,0,0,0,0,74,107,717031,89526,28.00850274
Ford County,Kansas,11676,2.87,77.2,19.8,3.6,82.8,22.8,47.8,12.9,67997,28502,11.9,12568,5.2,4.7,1.6,2.2,2.1,64.3,121500,34212,48.2,8.4,29.7,11.4,66.6,2.5,0.8,1.4,0.2,15.1,25.8,8.9,780,14599,1995,672,0,0,0,0,0,67,476332,99867,30.61084698
Franklin County,Kansas,10185,2.48,92,23.9,10.7,86.6,2.4,3.9,24.1,68217,32997,8.3,11180,3.1,3.5,1.5,0,3.5,73.4,175500,25968,49.9,5.3,23.4,17.3,91.8,0.6,0.4,0.5,0,5.1,3,0.5,552,8975,1700,439,0,0,0,0,0,27,281127,35576,44.67516335
Geary County,Kansas,13512,2.61,93.7,23.8,22.4,70.8,7.4,16.2,17.5,57992,27030,18.6,15893,7,6.6,5.7,4.9,5.6,43,162400,36247,46.8,11.6,31.1,8.5,61.8,17.1,0.6,3.2,1,12.2,9.4,4,582,7831,1482,412,0,0,0,0,0,0,324273,69956,82.33178964
Gove County,Kansas,1182,2.29,93.8,19.7,8,94.7,1.3,1.1,16.1,59417,33295,6.4,1336,2.5,1.2,1.5,0,0.3,78.2,112800,2758,49.2,7.3,26.2,23.8,95.2,0.8,0,1.1,0,2.6,1.3,0.9,129,908,321,123,0,0,0,0,0,0,83369,2531,2.459721714
Graham County,Kansas,1200,1.99,93.8,24.4,5.9,91.5,1.2,1.5,11.7,47071,30222,9.9,1432,2.4,2,0.2,1,0,81.4,87400,2430,50.5,4.3,20.6,26.3,90.8,4.2,0,1.3,0,3.6,0.8,1.9,86,522,286,67,0,0,0,0,0,0,24458,783,2.762299089
Grant County,Kansas,2420,3.01,79.2,20.2,2.4,94.8,21.9,40.6,24.2,84808,36280,5.3,2932,7,1.5,0,0,0,76.3,147800,7336,44.3,7.2,31.1,12.8,76.8,0.1,2.4,0.4,0,18.6,16.9,0,214,1962,499,178,0,0,0,0,0,29,59694,9844,12.43893487
Gray County,Kansas,2054,2.74,75.3,21.9,4.8,89.7,12.8,22.9,17.8,74500,34339,4.1,2334,0.3,1.9,1.7,1.3,0.4,80.4,162400,5719,48.7,7,29.1,15.1,92.5,0,0.1,0.2,0,6.3,4.8,1.7,237,1487,608,180,0,0,0,0,0,0,37727,0,6.891730452
Greeley County,Kansas,553,2.26,88.9,28.8,5,83.1,10.4,15.9,11.8,69948,36078,8.1,633,1.3,1.9,0,0,0.9,74.5,115700,1279,52.4,6.8,29.1,18.1,83.8,0.2,3.2,0,0,1.5,12.8,0.1,40,332,139,76,0,0,0,0,0,0,14775,0,1.582724984
Greenwood County,Kansas,2584,2.29,91.6,16,10.6,94.6,0.9,1.6,24,51812,34862,15.3,3671,0.5,1.2,2.3,0,0,79.6,64900,6001,49.3,5,21.5,25.7,93.1,0.5,1.5,0.3,0,3.9,1.4,0.7,159,1087,560,179,0,0,0,0,0,31,34554,2983,5.232204211
Hamilton County,Kansas,716,3.51,85.6,19.2,4.8,88.4,17.6,31,15.5,58750,28145,7.9,967,0,2.3,1.2,0,1.6,77.5,116800,2520,48.9,5.9,30.3,14.3,81.5,0,0,0,0,10.4,16.9,8.6,73,523,184,53,0,0,0,0,0,0,25097,2119,2.547882878
Harper County,Kansas,2186,2.41,89.7,17.5,8,89.5,2,2.6,16.2,53032,26970,15.5,3045,1.8,3.1,2.5,0.8,0.2,73.6,81000,5457,50.6,6.2,25.1,21.9,91.1,0.1,0.7,0.2,0.1,5.2,4,1.9,187,1827,471,214,0,0,0,0,0,0,50161,4583,6.784195153
Harvey County,Kansas,13246,2.46,91.8,30.7,7.6,83.1,3.2,6.1,20.2,70685,33965,9.7,14585,3.3,4.4,1.7,0.2,4.6,71.4,160100,33959,50.9,5.8,23.9,20.5,85.3,1.6,1,1,0.1,8.1,7.6,1.3,747,12561,2415,2073.8,31,0,161,0,71.8,440.4,340502,42613,63.78624662
Haskell County,Kansas,1354,2.72,75.2,15.8,2,89,23.1,40.8,20.2,66458,32908,9,1551,0.7,1.4,1.9,0.5,0,76.1,132500,3735,51.2,7.2,26.8,15.3,75.8,0.3,0.9,0,0,6.6,21.3,0.9,114,853,406,116,0,0,0,0,0,0,17519,0,6.870745136
Hodgeman County,Kansas,710,2.46,92.6,30.5,6.3,92.8,3.4,6.7,15,63125,33911,8.8,851,2.4,0.2,0,0.8,0,81.3,86100,1770,52,4.9,23.2,22.8,96.9,0.1,0.1,0,0,2.5,0.5,0.2,46,278,175,57,0,0,0,0,0,0,5396,367,2.08606574
Jackson County,Kansas,5182,2.53,93.8,21,11.5,87,2.6,4,28.9,70385,32499,7.9,5612,3.5,2,0.9,0.3,1.9,77.2,169100,13274,49.2,6.3,24.3,19.5,85,1,6.3,0.2,0,5.7,3.3,2.5,253,3090,861,724.2,6.8,0,0,0.8,0,100.6,86903,144849,20.07103139
Jefferson County,Kansas,7316,2.48,95.7,24.5,8.7,91.8,0.9,1.6,28.8,74562,38535,6,7967,2.5,1.8,0.3,0.4,0.2,85,193000,18387,49.4,5.2,22.4,19,93.8,0.7,0.5,0.2,0,4.4,2,0.3,309,2099,1234,724.2,6.8,0,0,0.8,0,100.6,69403,0,35.7567766
Jewell County,Kansas,1278,2.27,92.5,18.5,7.7,90.8,1.6,2.1,17.5,47109,32759,18.7,1774,1.6,2,0.2,0.7,0.2,80.2,58400,2929,48.1,5.4,20.4,30.2,93.3,1.1,0.2,0.3,0,4.5,3.7,0.2,80,437,251,0,0,0,0,0,0,0,11062,0,3.163837631
Johnson County,Kansas,241191,2.51,96.5,56.7,5.7,85.9,8.8,11.8,20.9,103644,56364,5.3,252108,0.9,3.8,7.2,5.2,7.4,68.9,343300,610742,50.5,6,23.8,15.2,82,4.8,0.2,5.4,0,5.7,4.6,1.9,18623,340364,54089,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,10360766,1637940,1271.910779
Kearny County,Kansas,1352,2.88,80.4,16.6,3.8,83,12.3,26.1,20,68750,29465,15.6,1582,1.6,1.2,2.6,0.3,0,68.5,143200,3964,48.5,7.2,30,16,81.8,3,0.2,0.6,0,6.5,11.5,2.5,86,707,325,94,0,0,0,0,0,0,16578,2041,4.408741149
Kingman County,Kansas,3104,2.33,90.8,24.3,7.4,87.3,0.1,2.4,23.1,59640,33453,7.9,3671,0.5,2.7,2.5,0.5,0.5,71.9,97500,7369,49.2,5.9,21.8,19.9,93.8,0.3,0.3,0,0,3.9,2.6,0.7,216,1819,651,2073.8,31,0,161,0,71.8,440.4,49408,26070,8.283346916
Kiowa County,Kansas,927,2.4,89,25.3,4.4,91.6,4.5,7.7,11.8,70347,35199,5.2,1158,0.8,3.4,1.1,1.4,0.5,75.4,121600,2445,53,5.7,22.8,22.7,91.2,0.7,0.6,2.5,0,3.8,3,2,85,779,257,153,0,0,0,0,0,0,11283,0,3.424943978
Labette County,Kansas,7956,2.45,90.5,22.6,6.9,88.4,0.8,4.2,14.9,56143,29585,15.2,9542,0.6,2.8,1.9,1.7,2.4,75.3,94600,20096,49.1,6.4,24.2,19.6,86.7,4.1,0.8,0.1,0,6.9,2.8,0.8,439,6864,1175,331,0,0,0,0,0,29,184179,20743,30.39697218
Lane County,Kansas,672,2.27,95.8,19.9,11.8,93,7.3,11.3,15.7,52222,35779,9,887,1.6,0.1,0,0,2.1,77.7,82300,1528,50.7,4.1,20.4,22.2,90.8,0.5,0.3,2.6,0,1.5,5,0.9,64,295,179,91,0,0,0,0,0,0,6731,0,2.139644746
Leavenworth County,Kansas,29226,2.61,93.4,35.5,15.9,77.9,3.2,5.5,23.4,84307,37482,10.1,31280,2.6,3.5,4.5,1.6,2.5,67.9,240800,82050,46.7,6.2,23.6,15.1,80.7,7.5,0.5,1.3,0,7.5,5.1,2,1273,13844,4366,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,631167,92310,176.4287968
Lincoln County,Kansas,1223,2.35,94.6,23.7,10.2,91.7,0.4,0.9,19.8,52540,31383,12.8,1679,0.8,1.1,1,0,3.2,79.3,94100,2929,49,4.9,22.5,25.1,95.4,0.2,0.1,0,0,4.4,1.7,0.4,82,573,227,66,0,0,0,0,0,0,7900,0,4.117343541
Linn County,Kansas,4093,2.36,93.5,22.1,7.3,90.1,0.5,1.5,33.5,56697,34053,11.5,5144,1.2,2.1,0.7,1.2,0,81.6,148200,9696,48.3,5.2,22.1,22.1,93.6,1,0.2,0.6,0.2,3.8,1.8,0,198,1525,743,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,59664,2618,16.33278921
Logan County,Kansas,1209,2.25,92.4,26.7,5.8,86.4,3.2,5,19.7,70382,38363,9.9,1372,6.9,0,0.8,1.1,1.1,64,116100,2752,48.1,7.5,24.9,20.9,93.5,0,1.5,0.5,0.2,2.6,2.1,0.7,106,660,296,102,0,0,0,0,0,0,31057,3151,2.603930565
Lyon County,Kansas,13223,2.35,87.8,26.7,6.6,75.8,10.4,15.8,14.9,56415,29425,16.2,14998,2.6,6.9,6.6,6.1,5.7,58.1,136100,32182,51.2,5.8,22.1,15.2,79.8,1.8,0.5,1.9,0,13.2,12.1,3.2,819,11916,1851,745,0,0,32,0,0,102,459405,64244,39.16879156
Marion County,Kansas,4577,2.42,92.1,27.6,6.6,88.9,0.9,2.5,22.7,60011,33087,8.8,5699,3.3,1.8,1.3,0.8,0.9,81.3,114700,11867,49.5,4.8,21.2,23.1,94,1.1,0.6,0.6,0,3.1,1.3,0.5,261,2511,981,210,0,0,0,0,0,0,61646,7838,12.58499873
Marshall County,Kansas,4079,2.4,92.2,20.8,7.8,91.4,1.3,4.2,16.3,64306,36854,10.5,4766,1,1.4,1.7,1.4,1.4,82,112300,10014,49.8,6.5,24.4,22.1,94.2,0.7,0.2,0.7,0,3.9,2.2,1.8,366,3869,753,301,0,0,0,0,0,61,229890,12404,10.78346139
McPherson County,Kansas,12140,2.34,92.7,31.4,5.7,85.5,3.1,5.6,15,71250,34116,10.6,13082,4.1,3.2,1.2,1.2,1.9,74.5,180900,30085,50.2,5,21.4,19.7,93.8,1.8,0.1,0.7,0,3.3,1.6,0.7,897,14421,2356,847,0,0,0,0,0,0,338890,45234,31.77387939
Meade County,Kansas,1602,2.45,86.4,24,5.2,82.5,10.8,20,16.8,74063,47644,7.1,1912,0,3,0,0.5,0,70.5,137500,4019,50.3,7.3,26.3,16.2,82.8,0.9,0.3,0.8,0,5.8,13,0.4,121,820,368,86,0,0,0,0,0,0,22542,0,4.123373304
Miami County,Kansas,13239,2.53,95.6,30.6,8.3,90.9,1.1,2.7,30.1,85564,40169,7,13939,1.8,2.2,1.3,0.7,2.2,79.4,253100,34312,49.2,5.4,23.6,17.3,92.7,1.2,0.7,0.5,0,3.7,2.7,0.6,764,6635,2592,2900.142857,68.28571429,27.5,170.8571429,3.928571429,52.14285714,604.4285714,294415,32273,59.45175003
Mitchell County,Kansas,2445,2.33,95.3,28.8,7.8,90.3,0.8,3.9,13.8,63008,35258,15,3128,4.4,5.4,1.7,1.6,2.4,75.7,100700,5829,49.8,5.6,23.3,22.7,93.5,0.2,0.3,0.6,0,3.5,3,0.8,237,2333,589,231,0,0,0,0,0,0,128187,6712,8.519618009
Montgomery County,Kansas,12682,2.4,90,20.1,7.1,84.8,1.7,4.3,17.5,51513,28270,16.9,15625,1.3,1.4,1.4,2.1,4,72.6,90200,31448,49.6,5.7,23.8,19.4,80.8,4.9,3,0.6,0,8.8,5.2,1.2,738,11416,1713,699,0,0,0,0,0,0,300321,43475,49.45511053
Morris County,Kansas,2288,2.32,92.5,27.9,12.2,89.7,1.5,2.5,25.3,52866,32462,11,3003,0.9,1.3,1,0.3,1.8,82,111700,5385,48.2,4.8,21.7,25.3,93.6,0.2,0,0.6,0,4.6,2.5,0.6,133,1227,484,130,0,0,0,0,0,0,35699,4254,8.082345542
Morton County,Kansas,939,2.78,87.8,17.5,4.7,93.9,11.7,18.6,16.6,57943,27423,13.2,1321,4.6,3.3,0.7,0.5,0,73.2,96000,2688,52.8,4.6,25.6,20,83,0.9,0,1.4,0,13.1,11,0.9,70,549,214,0,0,0,0,0,0,0,15269,1772,3.545143666
Nemaha County,Kansas,3986,2.48,93.2,28.3,6.5,93.1,0.8,2.7,13.8,72788,36959,8.7,4507,1.2,3.5,0.6,3.7,1.7,77,174500,10219,48.9,7.1,27.3,19.5,95.3,0.5,0.5,0.2,0,3.2,1.7,0.7,369,4564,799,0,0,0,0,0,0,0,137698,8261,14.26067961
Neosho County,Kansas,6207,2.47,91,21.1,7.6,88.5,2.1,2.6,15.5,54894,29850,15,7239,2.1,1.5,1.9,1.1,2.6,75.6,99400,15826,50.5,6.3,24.4,20.1,92.3,1.2,0.1,0.6,0,5.3,1.5,1.3,421,4701,1095,427,0,0,0,0,0,24,219648,0,28.0096659
Ness County,Kansas,1144,2.3,91.4,20.9,7.6,91.7,6.7,13.2,15.7,64907,39978,10.5,1500,0.3,1.3,1.7,0,1.3,81,80400,2677,48.8,5,20.7,23.3,83,0.3,0.1,0.1,0,4.7,12.1,0.5,125,835,279,169,0,0,0,0,0,0,11880,689,2.558759749
Norton County,Kansas,1881,2.38,90.8,20.8,5.7,82.4,1.5,3.4,12.2,52710,28514,9.4,2463,0,0.1,0.8,1.6,0.5,76.1,109800,5431,43.8,5.9,19.4,20.4,90.1,2.9,0.7,0.5,0,4.1,2.7,0.1,179,1641,413,264,0,0,0,0,0,0,50059,8200,6.105618483
Osage County,Kansas,6280,2.48,92.1,20,9.6,87,1.2,1.9,29.6,66155,32120,11.1,7273,2,1.7,1.2,0.5,1,78.5,138400,15787,48.6,5.4,23.4,19.9,94.3,0.4,0.2,0.1,0,4.4,2.2,0.2,242,1676,1084,724.2,6.8,0,0,0.8,0,100.6,76147,6469,22.60645411
Osborne County,Kansas,1604,2.11,95.4,23.1,6.8,88.5,1.6,2.8,14.5,58750,34669,13.4,2050,3.5,0.1,1.8,0,0,75.8,80600,3493,49.7,6,21.3,25.8,94.1,0.5,0.2,0.3,0,3.5,1.8,0.9,130,959,337,169,0,0,0,0,0,0,30583,1302,3.832985836
Ottawa County,Kansas,2374,2.39,94.8,23.7,6.9,89.9,1.2,3,23.9,74551,34893,10.4,2680,4.6,2.6,0.9,0,1,77.7,157800,5768,47.6,5.3,22.7,20.2,94.7,0.7,0.4,0.1,0,3.4,1.9,0.4,132,820,453,105,0,0,0,0,0,0,13815,1359,7.914193336
Pawnee County,Kansas,2396,2.23,89.7,18.3,7.1,85.2,1.1,2.5,16.8,54141,32542,11.9,3065,6.8,4.2,0.9,0.7,2.3,61.7,93800,6288,45.2,3.3,14.2,21.9,87.9,5.7,1.3,0,0,3.9,2.7,2.4,138,1829,393,129,0,0,0,0,0,0,46382,9193,8.503667221
Phillips County,Kansas,2191,2.23,91.1,20.1,7.4,90.3,1,1.8,18.1,57611,34396,16.4,2816,0.8,2.1,2,2,1,72.6,95400,4960,49.1,6,22.3,24.4,94,1.3,1.2,0.4,0,2.7,1.6,0.2,224,1519,458,188,0,0,0,0,0,0,40913,4811,5.908308454
Pottawatomie County,Kansas,9054,2.77,96,37.9,10.2,90.1,2.1,3.2,24.7,85241,35715,7.2,9938,1.7,2.7,0.6,1,0.3,79.7,221600,25482,49.6,7.5,28.9,14.8,91.8,1.7,0.3,0.4,0,4.9,3.1,1.3,652,9204,1968,992,0,0,0,0,0,154,346687,27876,29.00182302
Pratt County,Kansas,3580,2.43,91.9,27.9,5.7,83.4,1.1,3.6,12.2,61685,31949,11.6,4390,2.8,2.4,1.8,1.6,2.4,70,111100,9175,49.8,6.6,25.1,20.3,90,2.2,1.1,0.2,0,6.1,3.8,1.8,367,3164,760,355,0,0,0,0,0,0,166291,18900,12.46737381
Rawlins County,Kansas,1165,2.15,94.7,17.5,8,88.6,2.5,5.8,13.3,61827,33003,10.9,1372,0,3.9,1.2,0.8,0.2,68.9,108500,2544,48.7,6.8,22.7,26.9,92.8,0.6,0.6,0.4,0,2.7,3.5,0.3,96,704,243,176,0,0,0,0,0,0,21978,1039,2.365776269
Reno County,Kansas,25157,2.34,91.7,20.5,6.3,85.4,2.4,6.1,18.1,57390,31695,12.3,28309,3.1,2.9,2.6,1.2,4.3,70.3,119200,61881,49.5,5.5,22.3,20.1,88,2.1,0.9,0.7,0.4,6.4,4.6,1.3,1578,21460,3972,1266,0,0,0,0,0,138,764300,110416,49.38868617
Republic County,Kansas,2029,2.27,95.4,26.4,9.4,91.5,0.5,1.2,21.7,54531,31626,10.1,2682,1.3,1.1,1.7,2.1,2.2,72.4,71000,4686,50.5,6,23.4,26.2,96.1,1.2,0.1,0.3,0,1.5,1,0.2,173,1196,382,206,0,0,0,0,0,0,54999,2790,6.462429663
Rice County,Kansas,3763,2.33,92,23.7,9.3,85,3.9,6.5,19.7,58523,32074,9.8,4395,2.5,0.6,0.3,0.7,1.7,75.7,87700,9441,48.6,5.3,23.1,19.7,85.4,2,0.6,0.4,0.3,6.8,8.1,1,257,2416,658,245,0,0,0,0,0,0,49293,0,13.13213964
Riley County,Kansas,26765,2.28,95.8,47.8,8.3,74.6,6.9,8.5,15.5,56327,33147,22.7,30595,7.5,5.2,7.9,11.4,7.3,44,231000,72105,46.6,5,15.9,9.6,79.5,6.4,0.8,4.4,0.3,6.9,4.4,1.9,1607,19457,3738,992,0,0,0,0,0,154,904461,177600,121.7516092
Rooks County,Kansas,2127,2.22,92.6,22.7,7.6,87.3,0.5,0.9,16.9,60821,33751,4.6,2637,1.5,3.3,1,1.4,1.1,75.4,88200,4925,50.4,5.4,21.2,22.9,94.8,1.7,0.4,0.3,0.1,2.1,1.7,0.2,171,1225,544,141,0,0,0,0,0,0,48616,2540,5.524818564
Rush County,Kansas,1344,2.13,90.9,19.5,8.5,84.9,1.3,4.1,22.2,53523,37166,12.8,1683,0,2,0.1,0.2,0,77,74900,2939,48.6,6.1,20.1,24.3,91,0.5,0.4,0.5,0,7.3,2.2,1.5,93,746,254,78,0,0,0,0,0,0,24392,1409,4.229808451
Russell County,Kansas,2995,2.2,93.4,20.2,10.1,88,1.3,2.3,18.2,49929,30680,17.5,3693,0.1,2,0.4,3.7,1.2,76.2,103500,6702,50.9,5.7,21.8,24.9,90.4,0.8,0.4,0.1,0,6,5.1,0.2,249,1775,782,0,0,0,0,0,0,38,68501,11450,7.735878534
Saline County,Kansas,22358,2.35,93.7,28.2,8.9,83.7,5,8.5,15.2,59887,32504,12,24116,5.2,3.5,2.6,2.3,4.1,67.3,161900,54160,50.2,5.9,22.8,18.4,87.2,3.1,0.3,2,0,6.2,3.4,1.8,1466,25409,3507,1297,0,0,0,0,0,155,1094820,140441,75.28580757
Scott County,Kansas,2143,2.34,84.9,19.9,8.3,88.3,7.4,20.3,10.7,53365,29999,7.6,2262,4.8,0.4,0,0,4.5,61.5,166100,5128,49,5.2,26.5,20.5,84.7,0,0,0.5,0.1,5.3,12.6,0,194,1462,422,168,0,0,0,0,0,24,47094,7501,6.7211539
Sedgwick County,Kansas,202485,2.54,89.5,31.7,7.3,83,8.5,15.1,19.6,65372,35338,13.7,224058,3.2,4.2,3.8,5.2,6.6,62.5,175700,522700,50.2,6.5,25.1,15.2,72.9,8,0.9,4.3,0.1,9.3,8.7,1.9,12404,224582,36439,2073.8,31,0,161,0,71.8,440.4,8082860,1166592,517.6320896
Seward County,Kansas,7071,3.04,69.8,11.3,2.5,88.3,29,58.5,14.9,57131,25391,13.6,8268,4.4,6.2,3,5.2,1.3,65.3,126000,21942,47.3,8.5,31,10.1,46.2,3,1.1,2.4,0.2,20.1,44.7,7.4,528,8862,1267,484,0,0,0,0,0,0,335483,43775,33.49941877
Shawnee County,Kansas,74394,2.33,92.9,31.7,8.3,86.6,4.2,7.4,18.1,63463,36011,12.9,80673,2.5,3.3,3,4.5,6.5,66.9,159900,178625,51.3,5.9,23.2,18.6,77.8,8,0.6,1.5,0.1,7.7,7.5,1,4023,73975,9963,724.2,6.8,0,0,0.8,0,100.6,2395396,0,325.1241467
Sheridan County,Kansas,1009,2.4,96.3,24.3,7.2,87.1,3.5,5.6,15.4,66719,41462,7.7,1160,1.2,0,0.3,0.3,1.7,73.6,134900,2450,48.6,5.8,25.6,23.2,92.2,0.1,0.4,0,0,3.9,5.3,0.2,108,689,284,145,0,0,0,0,0,0,17113,0,2.81375059
Sherman County,Kansas,2317,2.41,89.7,26.1,6.4,84.7,2.3,10.1,12.4,61404,37930,10.5,2951,2.1,3.5,2.8,1.6,1.6,65.1,123900,5940,47.2,6.8,23.4,20.6,88,1.9,0.2,0,0,4.8,6.7,0.9,259,1766,499,178,0,0,0,0,0,0,110828,14013,5.602879797
Smith County,Kansas,1560,2.24,95.4,23.1,10.9,90.6,0.3,1.7,13.9,50943,33881,7.3,2041,0.9,2.8,0,2.3,0,83.9,83900,3561,48.4,4.9,19.5,28.6,95.3,0.6,0.2,0.3,0,2.5,1.2,1,126,842,344,181,0,0,0,0,0,0,58037,0,4.001276227
Stafford County,Kansas,1610,2.44,93.2,26.1,8.3,83.7,5.3,5.7,21.8,60000,32921,11.1,2113,2.9,0.7,0.4,0,0.3,80.2,96100,4054,47.8,5.8,24,21.6,89.9,0.3,1.3,0.1,0,5.6,6.2,0.4,117,590,399,143,0,0,0,0,0,0,28288,1907,5.247169679
Stanton County,Kansas,888,2.29,80,17.4,5.9,97,19.1,39.4,11.3,66000,39063,13.2,1081,0.6,0,0,0.3,0,79.7,74000,2060,47.7,5.7,24.4,15.9,86.3,0,0,0,0,12.6,11.9,0,56,483,186,56,0,0,0,0,0,0,25355,900,2.948473947
Stevens County,Kansas,1715,3.01,74.4,12.5,3.9,90.5,13,25.9,18,67950,25674,15.8,2247,0.1,1.6,0,0,1.6,69.9,133800,5275,48.3,7.1,29.2,17,73.8,0.4,0,0,0,9.8,23.1,2.2,134,1078,352,96,0,0,0,0,0,0,35642,5970,7.542010012
Sumner County,Kansas,8977,2.46,93.5,23.9,8.7,89.8,1.4,1.8,23.8,59397,31072,11.6,10390,1.4,3.4,1.2,0.8,1.7,74.4,116400,22517,49.5,5.9,24.2,19.3,90.9,1,2.4,0.6,0,4.1,2,0.6,470,3833,1417,2073.8,31,0,161,0,71.8,440.4,168153,19870,19.32543811
Thomas County,Kansas,3129,2.39,94.5,26.5,6.4,83.8,4.4,6.4,12.2,72417,37610,6.6,3576,1.4,2.9,4.8,1,0.9,72.4,165300,7907,50,6.7,23.7,17.5,93.9,0.9,0.2,0.3,0,1.9,4.2,0.4,332,2837,769,331,0,0,0,0,0,29,197198,21507,7.236529009
Trego County,Kansas,1308,2.08,94.5,25,8.6,88.3,0.4,0.6,16.1,77500,42029,7.3,1657,0,3.1,0,1.4,1.4,82,114900,2798,49.6,5.6,18.8,27.6,97.5,0.1,0.1,0.4,0,2,1.2,0,118,791,299,135,0,0,0,0,0,0,41721,2914,3.151300156
Wabaunsee County,Kansas,2570,2.65,96.6,25.1,9.6,93,1.2,1.4,27.4,70000,34243,5.9,3128,0.6,0.8,0.9,0.7,0.2,81.9,169600,6922,49,5.4,23.2,21,92.8,1,0.6,0.7,0.1,3.9,2.1,0.1,128,1025,482,724.2,6.8,0,0,0.8,0,100.6,29021,0,8.725526063
Wallace County,Kansas,663,2.21,92.6,25.9,11.1,87.2,2.7,3.3,13.1,57708,34406,15.6,742,0,5.9,0.5,1.2,0,70.4,96200,1489,48,7.8,23.4,24.8,91.5,0.7,0.6,0.6,0,3.8,4.4,0.1,55,299,163,67,0,0,0,0,0,0,6988,0,1.661463704
Washington County,Kansas,2344,2.3,93.5,22.5,9.8,92.8,3.4,5,21,59432,32781,9.9,2736,3.6,2.2,1.6,1,0,76.8,106100,5529,48,6.8,22.7,23.8,94.4,0.2,0.3,0.7,0,2.4,2.8,0.1,200,1464,411,132,0,0,0,0,0,0,35297,0,6.041840619
Wichita County,Kansas,880,2.4,88.2,21.4,3.8,89.4,7.6,13.5,12.4,69551,36589,14.9,1002,0.5,4.9,1.4,0.5,0,84.3,96700,2131,47.4,8.4,23.7,23.2,79.5,0.7,0.6,0,0,11.5,16.3,2.8,88,488,165,105,0,0,0,0,0,0,14828,573,2.948927445
Wilson County,Kansas,3492,2.44,91.3,19.5,8.1,90.8,1.1,1.8,18.5,55439,32008,16.3,4498,0.9,2.6,1.3,0,1,72.6,91700,8667,50.1,5.9,23.9,22.3,94.1,0.2,0.4,0,0,5,1,0.7,210,3277,559,157,0,0,0,0,0,28,48192,0,14.94507965
Woodson County,Kansas,1213,2.57,92,21.1,9.9,89.3,0.5,1.2,20.6,50670,28380,13.3,1843,2.1,0.9,2,0.4,1.4,81.9,85300,3134,48.9,5.7,20.5,25,92.8,0.1,0.5,0,0,6.2,0.5,0,75,395,274,81,0,0,0,0,0,0,20290,0,6.30350025
