NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density,Outcome
Okaloosa County,Florida,79235,2.54,92.6,32.2,21.7,79.6,7.4,11.7,24.5,64373,34357,10.7,97802,1.5,4.1,5.1,3.3,13.6,66,234600,207430,49.2,6.5,22.2,16,76.9,9.8,0.3,3.2,0.2,6.1,9.5,72.9,5605,63069,19054,4288,28,0,0,0,0,814,3609707,694876,226.5451497,R
Okeechobee County,Florida,14601,2.63,79.8,14.3,9.6,89.3,11.6,22.7,25.9,46097,23133,17.8,18734,1.2,3,2,0.6,1.6,74.8,116500,41611,46.1,5.9,21.3,19.7,82.4,8.7,0.6,0.9,0.2,3.2,25.8,62.6,839,7282,2605,757,0,0,0,0,0,0,625128,56724,54.82364791,R
Orange County,Florida,468075,2.87,88.7,35.4,5.6,82.2,22.2,37,28.8,61416,31409,14.2,545974,1.4,3.9,6.2,8.9,13,56,257800,1373784,51,6.1,22.1,11.9,59.9,21,0.2,5.3,0.1,7.5,32.1,39.2,41172,791098,175312,29546,1191,87,2475,32,3823,6033,26388535,11132798,1545.0773,D
Osceola County,Florida,109642,3.3,86.1,23.2,6.7,85.8,20.8,51.6,34.3,55538,24146,13.4,155925,1.3,4.1,7.7,8,5.5,64.4,221600,363666,50.7,6.3,24.4,13.1,66.4,10.9,0.3,2.8,0,8.9,54.7,30.8,7139,90050,51173,5510,184,0,407,0,1167,1066,4128165,1500422,283.0381103,D
Palm Beach County,Florida,565598,2.58,88.8,37.1,6.4,86,25.5,32.1,26.2,65015,40957,11.6,690075,2.7,6.5,6.3,6.7,18.3,69.2,301000,1482057,51.5,5.1,19.1,24,69.9,18.7,0.2,2.8,0,5.6,22.6,53.9,51563,554858,215114,42022,1038,0,1906,0,4029,9180,24445666,4656256,761.9931323,D
Pasco County,Florida,209483,2.54,89.9,24.6,10.7,85.9,10.3,15.2,31.7,53431,29498,12.3,247024,1.1,2.1,2.7,2.5,3.8,73.2,173900,539885,51.4,5.2,20.3,22.6,84.2,5.8,0.3,2.7,0.1,5.1,15.9,73.3,10500,108103,48930,7996,86,0,605,0,371,1365,7098666,701145,741.9791772,R
Pinellas County,Florida,413239,2.3,91.6,32.5,9.9,84.7,12.1,14.6,24.4,56419,36754,11.6,510798,2.8,4.7,5.6,6.2,17.9,68.1,219800,970985,52,4.3,16.2,24.8,80,10.3,0.3,3.5,0.1,4.3,9.9,73.5,29940,406468,97182,23970,303,59,1331,0,952,5219,16891083,3056617,3561.278129,D
Polk County,Florida,240879,2.88,85.4,20.6,8.7,85.1,10.5,22.9,28.4,51535,25820,15.1,300596,3.1,3.2,2.9,2.4,2.9,69.5,162400,705735,51,5.8,22.1,20.3,73.3,15.3,0.3,1.7,0,5.1,23.5,57.6,12491,203461,59485,9105,196,0,657,0,627,1392,8333421,1019024,403.2052216,R
Putnam County,Florida,29822,2.43,82.6,13.6,12,87.4,4.2,9,31.7,40068,22257,22.4,37497,1.3,1.9,1.5,0.8,1.4,71.4,103400,73784,50.8,5.7,21.4,22.9,78.4,16.3,0.4,0.6,0,3.5,10.1,71.1,1236,13059,4652,1064,0,0,49,0,0,148,737422,69413,102.382701,R
Santa Rosa County,Florida,65697,2.64,91.5,27.3,17.8,83.9,4.7,6.1,29.9,70663,32322,10,73023,1.8,2,1.5,0.8,2.8,77.1,214900,179587,49,5.7,22,16,84.6,6,0.5,1.9,0.3,5,5.8,81.7,3040,29954,14296,2419,0,0,62,0,0,543,1508066,238399,182.0592071,R
Sarasota County,Florida,189228,2.23,93.2,36.4,11.2,84.4,12.2,13,24.5,64644,44402,8.7,244910,1.3,2.9,3.9,4.8,11.7,76.2,269300,427766,52.3,3.5,14.2,36.7,89.7,4.5,0.2,1.8,0,2.8,9.4,82.6,14480,149279,50492,12464,0,0,480,0,0,2432,7397340,1151697,780.130552,R
Seminole County,Florida,178094,2.6,94.4,41,7.4,84.6,14.2,23.2,27.8,70297,36016,9.8,192073,1.2,3.8,7.1,7.5,6.6,65.8,263700,466695,51.6,5.3,21,15.5,72.7,12,0.2,4.7,0,5.7,21.9,59.2,14251,188461,49509,11056,304,0,721,0,843,2116,9607027,1038100,1525.336278,D
St. Johns County,Florida,91253,2.77,94.8,44.5,10.4,84.3,7.4,8.6,27.8,83803,43433,7.7,111492,1.1,3,4.1,5,4.2,81.4,326300,255410,51.4,5,21.8,20.2,86.8,5.5,0.3,2.7,0.1,3.8,7.3,81.9,7088,67854,27877,5692,0,0,254,0,206,1181,3214807,824564,440.7050343,R
St. Lucie County,Florida,118527,2.68,87.3,22.5,9.3,87.4,16.1,22.5,27.8,55237,28426,13.1,143823,1.9,3.2,3.2,3.8,7.6,75.1,209700,320914,51.1,5.1,19.8,24.2,70.3,20.3,0.4,2,0.1,4.3,19.3,56.4,6407,67708,35216,4588,119,0,285,0,342,691,3794883,456735,574.2966735,R
Sumter County,Florida,59076,2.04,92.2,32,15.5,87,5.7,6.9,26.5,59618,35879,8.8,72655,0.2,0.5,0.2,0.1,2.6,88.6,267100,129938,50.2,1.9,7.3,57.8,88.7,7.1,0.3,1,0.1,1.8,5.8,84.9,1706,27829,8471,1223,0,0,0,0,0,241,1089725,177121,237.6812965,R
Suwannee County,Florida,15149,2.82,82.5,15.7,11.4,90.7,4.8,8.9,26.2,46280,23389,14,19467,2.2,0.2,0.1,0.2,1.5,76.8,107100,44290,47.9,4.7,21.5,20.4,80.3,13.4,0.1,0.3,0,3.9,9.6,75.2,676,9038,3001,501,0,0,0,0,0,0,572408,50974,64.50781161,R
Taylor County,Florida,7172,2.51,81.1,10.8,8.8,87.1,2.9,7.3,25.5,38295,19492,20.8,11134,1.2,0.8,0.2,0.2,0.8,78.1,81900,21709,44.1,4.6,19.3,20,73.8,21.9,0.3,0.5,0.2,1.3,4.2,71.4,406,4768,1085,318,0,0,0,0,0,0,268082,21717,20.67347193,R
Union County,Florida,4008,2.36,76.3,10.5,12,73.9,2.3,5.5,27.4,55139,20663,16.4,4623,2.1,1.5,0,0,2.2,70.5,112600,15282,33.5,5.1,18.5,15.3,72.7,20.2,0.8,0.5,0,4.7,5.7,69.3,126,1623,638,139,0,0,0,0,0,0,63855,2983,62.56081663,R
Volusia County,Florida,220386,2.43,90.8,24.4,11,86.3,7.8,14.3,26.3,52407,29859,13.2,262438,1.8,3,3.5,3.4,10,71.2,194900,546107,51.3,4.7,17.6,24.5,79.3,10.9,0.3,1.8,0,3.3,14.5,70.9,13395,158984,49679,10372,0,0,620,0,490,1932,7739644,1293257,502.4180415,R
Wakulla County,Florida,11382,2.59,87.9,18.6,11.7,88.1,2.5,6.1,31.2,67480,28320,7.5,13686,0.7,0.5,1.5,0,0.1,84.4,171200,32855,45.3,5.1,20.9,14.9,81.5,13.6,0.5,0.5,0,2.8,3.9,79.2,456,3682,2450,403,0,0,0,0,0,0,236500,32644,55.63652732,R
Walton County,Florida,28635,2.42,89.3,30,11.9,83.6,6.7,7.5,28.1,67390,35996,11.6,53637,1.1,3.2,3.4,3.1,16.1,76,245400,71049,49.5,5.5,20.4,19.7,86.2,4.6,0.6,0.7,0,4.2,6.3,84,2736,23278,10304,1963,0,0,49,0,0,409,1122081,526690,71.37706316,R
Washington County,Florida,9037,2.47,82.1,12.1,8.4,86.6,3.4,5.5,31.4,37260,19375,23.8,10957,1.2,0.1,0.5,0.2,0,78.9,120800,25094,46,4.5,19.4,17.6,79.5,15,1.3,0.7,0.4,2.2,3.9,77.1,412,4358,1724,352,0,0,0,0,0,73,203898,23124,43.56765761,R
Appling County,Georgia,6650,2.69,77.2,9.5,6.3,93,4.9,9,24.2,37924,21675,23.4,8597,3,0.9,0.9,0,1.1,74.8,87100,18428,49.2,6,24.8,17.2,73.8,19.8,0.7,0,0,2.1,10,68.9,380,5623,1257,0,0,0,0,0,0,0,578711,25572,36.17341039,R
Atkinson County,Georgia,2953,2.81,67.7,12.2,5.3,93.7,13.1,23.4,26.1,35703,20887,28.2,3511,1.3,1,1,0.4,1.2,71.4,63400,8311,50.2,7.1,26.7,12.9,70.6,15.6,0.7,0,0,4.6,26,55.8,87,1461,579,56,0,0,0,0,0,0,41718,2536,23.82421753,R
Bacon County,Georgia,3743,2.76,82.4,9.3,6.9,91.3,2.7,7,22,36692,19882,26.1,4819,1.4,3.5,1.6,0,0.2,74.6,82300,11140,50.9,7.5,25.6,15.6,79.6,16.4,0,0.5,0,1.6,8.4,73.2,232,3223,663,288,0,0,0,0,0,0,81214,0,39.29810477,R
Baker County,Georgia,1448,2.13,83.2,21.4,5.8,94.2,4.5,9.6,22.8,34034,25691,20.6,1841,1.3,1.4,1.2,0,0.1,68.4,108100,3090,49.9,2.2,17,29.8,54.4,38.2,0.1,5.7,0.6,1,4.6,50.1,31,281,182,46,0,0,0,0,0,0,4117,0,8.884149358,R
Baldwin County,Georgia,16698,2.41,86.5,24.3,5.6,83.7,2.4,3.7,24.7,46250,26934,23.7,20638,6.3,3.7,5.7,2.2,1.9,59.4,128800,45072,49.7,4.9,18.7,15.9,53.5,42,0.1,1.8,0.2,1.9,2.4,52.2,831,12914,3322,705,0,0,67,0,0,0,674231,0,173.522063,D
Banks County,Georgia,6941,2.72,75.1,15.8,7,94.2,5,7.4,31.5,50912,24303,13.6,7796,1,1.5,0.2,0.6,0,74.1,164500,18900,49.7,5.4,22.9,16.7,91.1,2.2,0.5,1.1,0,2.6,7,87.6,289,3357,1463,373,0,0,0,0,0,0,223610,59808,82.88514804,R
Barrow County,Georgia,27268,2.97,86.5,20.2,6.2,88,8.3,14.2,33.9,62990,25849,11.2,29036,2.7,2,1.5,0.7,0.7,76.7,169900,81294,51,6.8,26,12.5,75.9,12.1,0.2,4,0,4.8,11.5,69.6,1334,18737,8142,1155,0,0,0,0,0,158,993644,177473,516.9018525,R
Bartow County,Georgia,37905,2.78,86.2,19.8,7.1,86,5.2,8.9,29.3,61226,27047,12.6,41684,2,3.3,2.7,2.3,3.1,67.8,178500,106456,50.5,6.5,24.1,13.9,81.6,10,0.1,0.9,0.1,4.2,8.9,75.8,2181,35653,9393,1898,0,0,197,0,0,0,1330658,234472,234.7698354,R
Ben Hill County,Georgia,6612,2.5,83.6,11,7.6,91.2,3.3,5.2,15,32077,18241,29.1,8015,4,2.3,4.3,0.3,1.6,57.6,85500,16889,51.3,6,24.8,17.1,58.4,36.9,0,0.6,0,1.2,6.2,55.3,287,4492,1074,246,0,0,0,0,0,36,207017,17772,66.76745971,R
Berrien County,Georgia,7391,2.57,79.6,13.2,6.4,90.2,2.2,4.8,22.9,42089,20545,22.6,8811,0.8,2.7,1.2,0,0.5,65.8,95200,19206,51.1,6.3,24.1,17.9,83.5,10.4,0.1,1,0,3,5.3,81.6,249,2800,1243,244,0,0,0,0,0,0,100251,11460,42.78349983,R
Bibb County,Georgia,58154,2.53,86.4,25.3,7.7,84,3.2,5.3,20.7,41317,25519,25,70138,4.8,6,7.4,4.8,6.3,51.7,125300,153026,53,6.6,24.3,15.6,39.3,54.3,0.2,2,0,3.2,3.4,37.6,4150,77258,13694,3108,203,0,381,0,0,447,2685363,451023,614.1136943,D
Bleckley County,Georgia,4250,2.73,89.6,17.9,7.7,90.6,2.4,1.5,24.3,46992,20502,18.4,5327,3,3.7,0.5,1,0.3,72.8,101900,12870,52.8,5,19.7,17,70.6,28.5,0,0.1,0,0.4,3.2,68.1,168,1770,808,212,0,0,0,0,0,24,93796,12410,59.63249823,R
Brantley County,Georgia,6763,2.79,80.5,6.9,7.8,92.6,1.7,3.6,31.9,34679,18883,18.8,8180,1.2,0.5,0.1,0.1,0.1,78.8,92800,18924,50.1,6,24.1,16.4,93.4,3.5,0.2,0.9,0,1.5,2.3,91.9,210,1461,1095,221,0,0,0,0,0,0,70903,5723,43.11347467,R
Brooks County,Georgia,6392,2.41,83.9,16.5,8.1,90,3,3.7,24.5,37516,26115,22.9,7817,1.8,3.1,0.6,0.3,2.1,69.9,94200,15548,51.7,5.7,22,19.1,58.2,36,0,0.6,0.1,1.8,5.9,55.5,207,2047,1034,0,0,0,0,0,0,0,93406,7673,31.34122837,R
Bryan County,Georgia,13503,2.83,92.8,33,14.2,81.8,4.7,8.9,31.7,76121,32825,10.3,14778,1,1.6,4.3,0.9,1.2,70.8,227400,38321,50.5,7.4,29.4,10.8,75.3,14.5,0.4,1.3,0.1,5.3,7.5,72.1,719,6795,3421,0,0,0,0,0,0,143,373376,65100,90.56615515,R
Bulloch County,Georgia,27967,2.48,88.2,27.6,6,73.7,3.7,5.6,22.7,48786,25121,22.3,31496,5.7,6,4.3,5.3,3.3,54.3,147100,77719,51.2,5.7,19.9,11.3,64.4,28,0.2,1.4,0.3,4.2,4.2,63.2,1531,18838,5372,1225,0,0,0,0,0,181,957512,173600,117.7718324,R
Burke County,Georgia,7953,2.81,81.4,14.5,9.8,92.2,1.7,2.5,27.2,45699,24050,19,10108,2.6,3.3,0.4,0.1,0.3,73.1,89900,22567,53.2,6.7,26,15.7,49.4,47.3,0,0.5,0,1.7,3.2,47.4,354,11440,1668,352,0,0,0,0,0,57,221199,22037,27.06415432,R
Butts County,Georgia,8342,2.59,80.1,11.1,7.2,83.8,3.2,4.3,32.6,48282,25343,21.7,9457,2.2,2,4.1,0.2,0.5,71.3,156700,24463,47,5.4,20.1,15.6,67.5,28.4,0,0.5,0,2.6,3.4,65.8,387,5466,1925,310,0,0,0,0,0,0,316008,26449,135.7504813,R
Calhoun County,Georgia,1726,2.56,75.5,11.8,5.9,78.5,4.6,8,23.3,41962,15461,24.9,2398,2.4,1.6,2,1.2,0.8,68,48700,6301,39.3,3.5,17.5,15.5,33.9,60.2,0,0.9,0,1.6,5,32.5,65,703,324,98,0,0,0,0,0,0,13872,355,22.07329016,D
Camden County,Georgia,19746,2.65,91.8,22.5,15,83.2,4.8,5.3,23.1,60594,29449,14.9,22303,2.6,6.8,3.6,1.9,2.3,61.9,171400,53960,48.9,7.1,24.2,13.2,72.5,18.2,0.7,1.9,0.1,5.2,7,69.6,852,9605,3033,724,0,0,0,0,0,157,600901,107114,86.72784164,R
Candler County,Georgia,4042,2.62,78.4,11.4,7.3,87.8,5.6,9.6,22.1,36955,20897,25.1,4784,2.9,1.1,1.4,0,1.3,57.6,89800,10834,50.1,5.4,25,18.1,67.8,25.2,0,0.6,0,2.7,11.7,60.1,221,2384,861,237,0,0,0,0,0,0,145656,0,44.44593194,R
Carroll County,Georgia,42196,2.73,85,22.1,6.2,82.4,4.3,6.9,29.4,59197,26495,16.3,45699,3,2.7,3.5,1.7,2.7,68.8,147400,118692,51.4,6.3,23.8,13.6,73.4,19.6,0.8,0.8,0.1,2.9,7,69.5,2189,38806,9588,1753,0,0,171,0,33,233,1556905,215840,240.4515618,R
Catoosa County,Georgia,25151,2.65,88.9,23,9,88.3,2.6,4.9,23.8,58932,28537,9,27578,3.5,4.6,3.4,1.5,0.8,74.4,151300,67181,51.9,5.6,22.7,17.7,91.8,2.1,0.3,1.4,0.1,2.7,3,90.6,946,12617,4544,884,0,0,0,0,0,134,948299,121967,416.7425495,R
Charlton County,Georgia,3826,3.1,80.2,12.8,8.4,90.3,6.6,8.4,30.2,42743,19228,23.2,4536,4.5,3.3,0.4,0.3,0.5,71.2,87200,13032,41.6,5.1,18.7,15.8,65.4,26.3,1.2,1.1,0.1,4,7.2,61.3,149,1755,535,175,0,0,0,0,0,0,61034,8834,17.16731869,R
Chatham County,Georgia,109868,2.53,90.1,34.4,10.2,79.5,6.7,10.8,22.4,57739,33106,14.4,126234,4.2,6.5,6.6,5,7.1,55.6,209200,289649,51.9,6.3,21.2,15.4,51.4,40.3,0.3,2.8,0.2,3.3,6.5,47.9,8211,146460,25025,6171,183,0,551,0,190,1182,5006241,1492349,668.2494535,D
Chattahoochee County,Georgia,2550,2.75,94.2,27,21.2,61.5,4.1,12.1,11.1,45700,23894,18.1,3341,6,11.5,7.1,0.5,2.6,24.3,82000,10470,35.3,8.4,20.9,3,65.8,21.1,0.1,2.5,0.4,6.4,16.2,56.6,108,1792,223,68,0,0,0,0,0,0,14818,3070,43.8495004,R
Chattooga County,Georgia,9106,2.53,72.3,9.7,6.9,88.4,3.2,4.9,27,37351,18523,21.1,10986,3.5,1.7,4.6,0.8,1.9,68.8,77200,24826,48.4,5.9,22.6,17.6,84.7,9.8,0.1,0.4,0,2.9,5.3,82.6,320,5002,1454,229,0,0,0,0,0,0,159897,16862,79.11550459,R
Cherokee County,Georgia,90372,2.79,92.1,36.9,7.5,87.6,9.2,12.1,35,84817,38153,6.9,94658,0.7,0.8,1,2.8,5.3,76.4,271300,253780,50.8,5.9,24.4,14,85.1,7,0.3,1.9,0.1,3.8,10.7,78.2,5834,61204,28405,4795,58,0,255,0,0,988,2976983,420446,614.5409488,R
Clarke County,Georgia,50284,2.3,89.5,45.4,5,71.4,9.5,14.8,20,40363,25343,26.5,53452,7,6.7,8,9.7,10,40.5,186800,126952,52.4,5.1,17.3,10.9,62,28.2,0.2,3.9,0,3.3,10.8,54.9,3119,49313,9458,2517,0,0,250,0,0,388,1982006,396007,1076.398888,D
Clay County,Georgia,1313,2.19,82.9,16.9,10.4,95.5,2.4,2.7,22.5,32434,22389,32.7,2160,0.6,0.2,2.2,2.6,0.4,76.1,70500,2931,50.9,4.1,19.7,30.5,42.7,55.7,0,1.1,0,0.2,0.3,42.3,42,284,205,25,0,0,0,0,0,0,7838,0,14.50328929,D
Clayton County,Georgia,96826,2.91,84.9,19.1,7.8,83.6,13,19.1,32.1,49460,21804,16.6,105992,1.4,4.2,11.1,7.2,4.8,50.3,122100,287560,53.3,7.5,27.9,9.4,15.1,69.8,0.1,5.1,0.1,3.7,13.2,9.6,3934,73303,34628,2946,357,0,614,0,140,448,3454890,585554,2062.805068,D
Clinch County,Georgia,2387,2.6,72.2,10.8,4.5,92.5,2.4,4.4,20.1,38844,17539,29.8,3008,1.8,0.7,1.6,0.6,1.3,78.8,71800,6648,49.8,6.1,25.5,15.1,67.5,25.2,2.3,0,0,1.4,6,65,136,1865,397,0,0,0,0,0,0,0,36882,4038,8.120287884,R
Cobb County,Georgia,283359,2.63,92.6,48.4,7,84.6,15.6,20.5,31.2,80830,41480,8.6,302537,0.7,1.9,5,7.5,8.8,65.8,273900,756653,51.6,6.1,23.6,12.3,57.1,27.6,0.2,5.5,0.1,4.7,13,51,21492,358927,89063,17066,825,87,1586,0,0,3537,18543691,2056579,2237.089602,D
Coffee County,Georgia,14832,2.67,74.8,12.2,5.9,90.1,6,11.7,20,42526,20659,20.4,17351,2.3,2.2,1.4,0.5,1.5,65,106400,43070,48.9,6.8,24.5,14,65.5,28.6,0.1,0.7,0,3.5,11.7,57.8,835,14241,3352,737,0,0,0,0,0,138,542141,74979,73.06502576,R
Colquitt County,Georgia,15865,2.82,74.6,13.7,6.2,84.5,9.8,17.7,22.7,36799,20530,24.2,18700,1.4,3.5,1.8,0.6,1.2,62.3,92600,45510,50.3,6.7,25.8,15.2,62.6,23.5,1.1,0.8,0,2.4,19.4,55.3,900,11897,3166,954,0,0,0,0,0,0,528227,0,83.35819288,R
Columbia County,Georgia,48233,3.19,93,36.5,16.1,87.8,7.1,9.3,25.9,82251,35349,6.6,58653,0.6,1.7,1.2,2.8,1.5,79.5,215200,154257,51.1,6.4,25.3,13.6,72.4,16.8,0.3,4.1,0,5.2,6.9,67.9,2620,32816,12010,2063,0,0,146,0,34,439,2111518,242198,540.2516268,R
Cook County,Georgia,6202,2.75,80.7,15.7,7.7,90.7,2.7,4.8,25.5,40943,20769,21,7456,0.6,1.8,1.4,2.5,0.2,65.6,93400,17217,51.7,6.7,25.5,16.1,68.6,27.4,0,0.9,0,2.4,5.8,64.4,308,3392,1227,313,0,0,30,0,0,0,200136,30867,75.60613996,R
Coweta County,Georgia,53104,2.74,90.4,33.3,8.6,88,6.9,8.8,31.6,79795,36884,8.8,55601,1.2,1.2,1.7,3.4,3.2,75.1,225000,145839,51.4,5.9,24.4,13.9,75.2,17.5,0.2,2,0,3.4,7.1,70.6,2718,38325,13299,1975,64,0,0,0,0,384,1943146,235164,336.8058949,R
Crawford County,Georgia,4573,2.65,83.1,10.6,11.3,89,1.1,2,30,47917,24404,16.6,5379,1.2,0.9,2.1,0.3,0.9,77.4,121500,12267,46.2,4.9,20.5,18.5,74.6,22.1,0.1,0.1,0,1.4,3.5,73.3,120,539,831,83,0,0,0,0,0,0,21812,0,38.17631816,R
Crisp County,Georgia,8479,2.61,82.7,13.7,6.8,85.9,1.7,4.1,20.6,38272,25402,29.7,10810,5.5,2.2,4.6,0.9,1.5,56.8,83100,22509,51.7,6.2,24,18.8,52.5,45.8,0,0.1,0.1,1.3,3.5,49.6,488,7259,1458,432,0,0,0,0,0,0,315880,59239,82.04501741,R
Dade County,Georgia,6155,2.41,81.5,15.8,5.3,82.2,2,3.1,26.6,40384,24964,11.1,7316,2.8,2.1,2.1,1.3,1.2,71,128500,16183,50.9,4.9,19.1,19.3,93.9,1.1,0,1.3,0.1,3.2,2.3,92.6,219,2982,1139,166,0,0,0,0,0,0,153908,0,92.63150247,R
Dawson County,Georgia,9521,2.64,88.3,33.6,6.3,89.1,3.5,5.2,31.1,72260,36110,9.5,11807,0.6,3.6,1.6,1.5,0.7,81.5,241900,25277,49.5,5.1,20,19.9,94.7,0.7,0.1,0.7,0,3.4,4.9,90.9,765,8813,2762,551,0,0,0,0,0,44,747589,66358,123.8354831,R
Decatur County,Georgia,9684,2.62,82.9,14,6.5,82.5,3.1,3.5,22.1,40567,21810,23.8,12218,4.4,4.9,2.9,0.5,0.7,61.3,115000,26595,51.9,6.7,24.2,16.3,52.2,41.7,0.1,0.7,0,1.2,6.2,49.9,604,7287,1843,593,0,0,0,0,0,66,378379,34873,44.21508231,R
DeKalb County,Georgia,283799,2.62,90.3,45.6,6.2,83.9,16,18.9,32,65116,37523,14.4,314430,1,3.7,8.1,9.2,13.2,55.7,235300,755287,52.8,7,23.2,12.4,33.5,53.3,0.9,6.2,0.1,4.4,8.4,29.1,17869,283367,87814,13647,1200,37,2180,0,430,3444,10567247,1768083,2836.041489,D
Dodge County,Georgia,7530,2.48,85.7,15.3,6.6,88.7,1.5,2.6,28.7,42211,21144,19.9,9865,1.5,3.4,3.2,0.3,0.4,69.8,86600,20725,47.8,5.1,19.3,18.2,67.5,29.8,0.1,0.3,0,1.4,3.7,64.3,302,3296,1436,248,0,0,0,0,0,35,160703,16140,41.54598231,R
Dooly County,Georgia,4979,2.43,80.5,12.9,8.2,86,4.1,6,22.4,48039,25198,22.5,6226,0.8,3.5,0.8,0,0,70.9,81400,13571,45.5,3.6,17.3,20.1,45.4,49.5,0,0,0,3.3,7,42.4,150,2863,701,142,0,0,0,0,0,25,127552,9162,34.10329848,R
Dougherty County,Georgia,34233,2.46,84.4,22.2,9.1,78.6,2.1,3.7,19.3,40947,22647,27.3,40572,10.1,10.3,5.6,2.3,2.1,45.9,106200,88696,53.9,6.5,23.8,15.8,25.7,69.7,0.2,1,0,2,2.9,24.7,2231,36907,6481,1765,151,0,123,0,25,311,1578708,235765,267.6332359,D
Douglas County,Georgia,49788,2.88,87.7,28.1,8.8,85.9,9,12.8,33.7,67651,29083,11.5,53038,1.3,1.2,4.6,5.5,3.3,65.5,171300,145063,52.4,6.1,25.9,11.6,44.6,47.6,0.1,1.7,0,3.3,9.9,38.9,2737,40404,15430,2211,0,0,0,0,0,0,2760566,287302,731.2104371,D
Early County,Georgia,4196,2.4,81,13.7,8,92.6,1.9,1.3,22.4,34811,21992,31.4,4979,0.6,2.5,0.2,0,0.2,67.5,120700,10218,54.5,6.5,24.9,19.1,44.8,50.9,0.5,0.5,0,2.8,2.3,44.6,203,3328,664,210,0,0,0,0,0,0,92368,0,19.87906667,R
Echols County,Georgia,1497,2.63,76.9,7.8,4.1,93.5,6.5,21.1,24.6,44454,23768,23.5,1790,1,0,0.4,0.4,0,71.3,76000,3944,55,6.4,24,13.6,66.9,3.5,1.6,0,0,10.9,28.1,59.1,29,136,240,0,0,0,0,0,0,0,4181,0,9.52885795,R
Effingham County,Georgia,21828,2.84,89.4,23.9,10.8,89.2,3.3,4.9,30.4,67050,32608,7.4,23462,0.7,0.8,1.6,1.4,1.1,77.3,170600,62241,50.5,6.8,26.5,11.7,80.2,13.6,0.2,0.7,0.1,3.9,4.7,77.1,815,8614,4620,670,0,0,27,0,0,0,444492,40196,134.2804713,R
Elbert County,Georgia,7695,2.46,78.8,11.8,7.8,88.6,3.6,6,22.5,39323,23368,24.5,9648,3.2,2.2,1.4,0.2,1.8,71.6,87400,19164,52.1,5.8,21.8,20.7,66.3,29.7,0.1,0.6,0,2,5.8,63.2,426,4671,1521,386,0,0,22,0,0,0,125961,0,54.66855446,R
Emanuel County,Georgia,8273,2.61,79.2,11.4,7.2,90,2.3,3.6,27.2,38423,19310,24,9932,5.7,4.1,3.2,0.2,0.3,58.9,74700,22525,50.5,7,24.9,16,62,33.4,0.2,0.2,0,3.2,4.6,59.1,374,5292,1669,312,0,0,0,0,0,0,245617,23114,33.27497148,R
Evans County,Georgia,4006,2.53,77,16.1,7.5,88.8,4.9,11.6,25,46392,20990,23.5,4751,7.4,1.5,2.3,0.5,0.4,59.8,97700,10671,49.8,6.7,26.6,16.2,58,28.6,0.3,0.9,0,2.5,11.8,56.2,216,4114,699,212,0,0,0,0,0,0,166045,8301,58.252119,R
Fannin County,Georgia,11174,2.29,88,22.1,11.5,90,2.5,3.1,27.1,46028,29845,10.6,17481,0.7,0.9,0.9,1.1,2.5,77.8,206900,25797,51.3,3.9,16.4,29.1,95.8,0.2,0.1,0.3,0.1,2.4,2.5,94.3,643,5441,3184,517,0,0,0,0,0,78,377743,52231,67.6508987,R
Fayette County,Georgia,40792,2.77,95.5,46.8,12.1,88.1,10.2,12.7,32.2,93777,44668,4.7,43000,0.5,1.3,2.1,1.7,2.9,81.5,293400,113544,51.6,4.5,23.1,18.3,64.5,23.5,0.1,4.4,0.2,4.1,7.3,60.5,3689,44684,12559,3054,220,0,146,0,92,607,1724970,325899,588.6519114,R
Floyd County,Georgia,36192,2.59,83.7,21.4,7.2,85.6,7.1,10.5,23.7,50657,27418,18.6,40713,4.4,2.9,2.4,2,4.3,62.5,137600,97805,51.7,6,23.1,16.6,78.1,13.9,0.2,1.2,0,3.7,11.3,70.4,2023,36680,7297,1686,0,0,168,0,0,168,1214754,227330,193.2005267,R
Forsyth County,Georgia,80319,2.94,93.4,54.8,5.7,87.9,18.3,22.8,33.1,112834,46470,5.2,83965,0.2,0.5,0.7,1.5,2.4,84.2,362300,236605,50.4,6,27.4,11.9,75.6,3.6,0.3,14.3,0,4.1,9.4,69.7,6971,78470,25252,5961,73,0,853,0,183,1281,3036981,364792,1087.732988,R
